doi;coo_authors;num_authors;num_citation;num_institution;date;
10.1145/2858036.2858144;Edith Law, Ming Yin, Joslin Goh, Kevin Chen, Michael A. Terry, Krzysztof Z. Gajos,;6;3;2;2022-03-22;
10.1145/2858036.2858560;Lena Mamykina, Thomas N. Smyth, Jill P. Dimond, Krzysztof Z. Gajos,;4;0;1;2020-06-17;
10.1145/2858036.2858239;Sharon Zhou, Ivy J. Livingston, Mark Schiefsky, Stuart M. Shieber, Krzysztof Z. Gajos,;5;8;3;2020-11-16;
10.1145/2818052.2874335;Pao Siangliulue, Joel Chan, Bernd Huber, Steven Dow, Krzysztof Z. Gajos,;5;37;3;2018-11-01;
10.1145/2856767.2856792;Cheng-Zhi Anna Huang, David Duvenaud, Krzysztof Z. Gajos,;3;2;1;2022-06-20;
10.1145/2876034.2876042;Joseph Jay Williams, Juho Kim, Anna N. Rafferty, Samuel G. Maldonado, Krzysztof Z. Gajos, Walter S. Lasecki, Neil T. Heffernan,;7;0;2;2023-02-01;
10.1145/2935334.2935380;Sunyoung Kim, Krzysztof Z. Gajos, Michael J. Muller, Barbara J. Grosz,;4;0;6;2022-09-28;
10.1145/2984511.2984584;Kenneth C. Arnold, Krzysztof Z. Gajos, Adam Tauman Kalai,;3;1;1;2022-09-04;
10.1145/2984511.2984578;Pao Siangliulue, Joel Chan, Steven P. Dow, Krzysztof Z. Gajos,;4;0;4;2022-11-08;
10.1145/2757226.2757230;Pao Siangliulue, Joel Chan, Krzysztof Z. Gajos, Steven P. Dow,;4;0;2;2022-06-20;
10.1145/2702123.2702320;Ofra Amir, Barbara J. Grosz, Krzysztof Z. Gajos, Sonja M. Swenson, Lee M. Sanders,;5;0;1;2022-11-11;
10.1145/2702613.2732934;Nam Wook Kim, Zoya Bylinskii, Michelle A. Borkin, Aude Oliva, Krzysztof Z. Gajos, Hanspeter Pfister,;6;0;1;2023-01-01;
10.1145/2675133.2675246;Katharina Reinecke, Krzysztof Z. Gajos,;2;0;2;2022-08-01;
10.1145/2675133.2675239;Pao Siangliulue, Kenneth C. Arnold, Krzysztof Z. Gajos, Steven P. Dow,;4;1;5;2022-04-29;
10.1145/2675133.2675219;Sarah A. Weir, Juho Kim, Krzysztof Z. Gajos, Robert C. Miller,;4;0;1;2022-10-08;
10.1145/2724660.2728678;Na Li, Krzysztof Z. Gajos, Ken Nakayama, Ryan Enos,;4;1;3;2015-03-14;
10.1145/2815585.2815727;Kenneth C. Arnold, Krzysztof Z. Gajos,;2;1;1;2015-11-06;
