doi;coo_authors;year
10.48550/ARXIV.2205.01818;Ziyi Yang, Yuwei Fang, Chenguang Zhu 0001, Reid Pryzant, Dongdong Chen 0001, Yu Shi 0001, Yichong Xu, Yao Qian, Mei Gao, Yi-Ling Chen, Liyang Lu, Yujia Xie, Robert Gmyr, Noel Codella, Naoyuki Kanda, Bin Xiao 0004, Lu Yuan, Takuya Yoshioka, Michael Zeng 0001, Xuedong Huang 0001;2022
10.1007/978-3-030-75765-6_57;Szu-Yuan Cheng, Yi-Ling Chen, Mi-Yen Yeh, Bo-Tao Lin;2021
10.1145/2964284.2967184;Hui-Hung Wang, Yi-Ling Chen, Chen-Kuo Chiang;2016
10.1109/ICDM.2015.91;Yi-Ling Chen, Ming-Syan Chen, Philip S. Yu;2015
10.14778/1978665.1978671;De-Nian Yang, Yi-Ling Chen, Wang-Chien Lee, Ming-Syan Chen;2011
;De-Nian Yang, Yi-Ling Chen, Wang-Chien Lee, Ming-Syan Chen;2011
;Ching-Lu Hsieh, Ren-Sheng Cheng, Yi-Ling Chen;2010
;Lu Yuan, Dongdong Chen 0001, Yi-Ling Chen, Noel Codella, Xiyang Dai, Jianfeng Gao, Houdong Hu, Xuedong Huang 0001, Boxin Li, Chunyuan Li, Ce Liu 0001, Mengchen Liu, Zicheng Liu 0001, Yumao Lu, Yu Shi 0001, Lijuan Wang, Jianfeng Wang, Bin Xiao 0004, Zhen Xiao, Jianwei Yang, Michael Zeng 0001, Luowei Zhou, Pengchuan Zhang;2021
10.48550/ARXIV.2302.03719;Yiling Chen, Tao Lin;2023
10.48550/ARXIV.2302.08012;Yiling Chen, Safwan Hossain;2023
10.1109/ACCESS.2022.3151098;Axel Rodriguez, Yi-Ling Chen, Carlos Argueta;2022
10.1109/SMC53654.2022.9945522;Yiling Chen, Linjiang Zheng, Weining Liu;2022
10.48550/ARXIV.2207.13126;Yiling Chen, Tao Lin;2022
10.48550/ARXIV.2209.13578;Gali Noti, Yiling Chen;2022
10.48550/ARXIV.2210.07414;Hamed Nilforoshan, Wenli Looi, Emma Pierson, Blanca Villanueva, Nic Fishman, Yiling Chen, John Sholar, Beth Redbird, David Grusky, Jure Leskovec;2022
10.48550/ARXIV.2212.12744;Si-Nian Jin, Dian-Wu Yue, Yi-Ling Chen, Qing Hu 0001;2022
10.1155/2021/5512957;Dianyuan Qi, Fangzhu Zou, Jing Zhao, Shaobin Sun, Huanbin Wei, Yiling Chen, Zhan Xia;2021
10.1007/978-3-030-73216-5_22;Chih-Hsien Fang, Yi-Ling Chen, Mi-Yen Yeh, Yan-Shuo Lin;2021
10.1109/GLOBECOM46510.2021.9685648;Yu-Hsin Chung, Yi-Ling Chen;2021
10.1007/978-3-030-82147-0_52;Yuhui Ye, Linjiang Zheng, Yiling Chen, Longquan Liao;2021
;Xiang Yan, Yiling Chen;2020
;Sujata Banerjee, Yiling Chen, Kobbi Nissim, David Parkes, Katie Siek, Lauren Wilcox;2020
10.1007/978-3-030-35343-8_15;Shi-Jim Yen, Yi-Ling Chen, Hsin-I Lin;2019
;Yiling Chen, Gabriella Kazai;2018
10.1016/J.TELE.2018.03.022;Tsai-Yuan Chung, Yi-Ling Chen;2018
10.3390/SYM9040048;Guofeng Qin, Xiaodi Huang, Yiling Chen;2017
10.1109/LCOMM.2016.2560166;Weite Zhang, Shilie Zheng, Yiling Chen, Xiaofeng Jin, Hao Chi, Xianmin Zhang;2016
;Ming Yin, Yiling Chen;2015
;Beatrice Liem, Haoqi Zhang, Yiling Chen;2011
10.1109/SMI.2008.4548004;Yi-Ling Chen, Xiang Zhang;2008
10.1109/ICSMC.2007.4413826;Wen-Chih Peng, Wangling Huang, Yiling Chen, PeiChing Liao;2007
10.1007/S11192-005-0235-X;Ming-Yueh Tsay, Yi-ling Chen;2005
10.1609/AIMAG.V24I2.1710;Yiling Chen, Isaac G. Councill;2003
10.3390/A15080255;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy;2022
10.1038/S41746-022-00708-4;Kristine Zhang, Henry Wang, Jianzhun Du, Brian Chu, Aldo Arévalo, Ryan Kindle, Leo Anthony Celi, Finale Doshi-Velez;2022
10.18653/V1/2022.SPNLP-1.5;Jeffrey Chiu, Rajat Mittal, Neehal Tumma, Abhishek Sharma, Finale Doshi-Velez;2022
10.1145/3514094.3534198;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju;2022
;Beau Coker, Wessel P. Bruinsma, David R. Burt, Weiwei Pan, Finale Doshi-Velez;2022
;Ramtin Keramati, Omer Gottesman, Leo Anthony Celi, Finale Doshi-Velez, Emma Brunskill;2022
;Q. Vera Liao, Yunfeng Zhang, Ronny Luss, Finale Doshi-Velez, Amit Dhurandhar;2022
;Yaniv Yacoby, Ben Green 0004, Christopher L. Griffin, Finale Doshi-Velez;2022
;Carissa Wu, Sonali Parbhoo, Marton Havasi, Finale Doshi-Velez;2022
;Sonali Parbhoo, Shalmali Joshi, Finale Doshi-Velez;2022
;Beau Coker, Wessel P. Bruinsma, David R. Burt, Weiwei Pan, Finale Doshi-Velez;2022
10.48550/ARXIV.2204.03208;Jeffrey Chiu, Rajat Mittal, Neehal Tumma, Abhishek Sharma, Finale Doshi-Velez;2022
10.48550/ARXIV.2205.05424;Yaniv Yacoby, Ben Green 0004, Christopher L. Griffin, Finale Doshi-Velez;2022
10.48550/ARXIV.2206.03944;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy;2022
10.48550/ARXIV.2206.10847;Q. Vera Liao, Yunfeng Zhang, Ronny Luss, Finale Doshi-Velez, Amit Dhurandhar;2022
10.48550/ARXIV.2207.06269;Jiayu Yao, Sonali Parbhoo, Weiwei Pan, Finale Doshi-Velez;2022
10.48550/ARXIV.2208.00250;Kelly W. Zhang, Omer Gottesman, Finale Doshi-Velez;2022
10.48550/ARXIV.2208.01705;Mark Penrod, Harrison Termotto, Varshini Reddy, Jiayu Yao, Finale Doshi-Velez, Weiwei Pan;2022
10.48550/ARXIV.2208.07406;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy;2022
