doi;coo_authors
10.1007/978-3-030-66888-4_5;Han-Ching Ou, Kai Wang 0040, Finale Doshi-Velez, Milind Tambe
;Sonali Parbhoo, Mario Wieser, Volker Roth 0001, Finale Doshi-Velez
;Jianzhun Du, Joseph Futoma, Finale Doshi-Velez
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Himabindu Lakkaraju, Finale Doshi-Velez
;Beau Coker, Melanie Fernandes Pradier, Finale Doshi-Velez
;Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens
;Joseph Futoma, Muhammad A. Masood, Finale Doshi-Velez
;Joseph Futoma, Michael C. Hughes, Finale Doshi-Velez
;Omer Gottesman, Joseph Futoma, Yao Liu 0009, Sonali Parbhoo, Leo Anthony Celi, Emma Brunskill, Finale Doshi-Velez
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez
;Jiayu Yao, Emma Brunskill, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez
;Mingyu Lu, Zachary Shahn, Daby Sow, Finale Doshi-Velez, Li-Wei H. Lehman
;Yash Nair, Finale Doshi-Velez
;Sujay Thakur, Cooper Lorsung, Yaniv Yacoby, Finale Doshi-Velez, Weiwei Pan
;Jianzhun Du, Joseph Futoma, Finale Doshi-Velez
;Théo Guénais, Dimitris Vamvourellis, Yaniv Yacoby, Finale Doshi-Velez, Weiwei Pan
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Himabindu Lakkaraju, Finale Doshi-Velez
;Isaac Lage, Finale Doshi-Velez
;Elisa Bertino, Finale Doshi-Velez, Maria L. Gini, Daniel Lopresti, David Parkes
10.1007/S10458-019-09418-W;Ofra Amir, Finale Doshi-Velez, David Sarne
;Soumya Ghosh, Jiayu Yao, Finale Doshi-Velez
;Muhammad A. Masood, Finale Doshi-Velez
10.1002/SAM.11415;Angela Fan, Finale Doshi-Velez, Luke Miratrix
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez
10.18653/V1/P19-1234;Lifeng Jin, Finale Doshi-Velez, Timothy A. Miller, Lane Schwartz, William Schuler
